Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1963|9|1|1.3|11.7|20.6|16.15|8.9||1
1963|10|1|0.0|13.8|27.4|20.6|13.6||1
1963|11|1|0.0|12.1|21.2|16.65|9.1||1
1964|1|1|0.0|19.6|32.9|26.25|13.3||2
1964|2|1|0.0|14.6|31.1|22.85|16.5||2
1964|3|1|0.0|16.3|31.9|24.1|15.6||3
1964|4|1|17.5|18.3|22.2|20.25|3.9||3
1964|5|1|5.3|10.6|19.5|15.05|8.9||3
1964|6|1|0.0|1.2|18.2|9.7|17.0||4
1964|7|1|5.3|7.7|15.9|11.8|8.2||4
1964|8|1|0.0|10.6|24.5|17.55|13.9||4
1964|9|1|0.0|10.5|18.1|14.3|7.6||1
1964|10|1|3.6|9.2|16.1|12.65|6.9||1
1964|11|1|0.0|7.8|21.9|14.85|14.1||1
1964|12|1|0.0|9.1|23.3|16.2|14.2||2
1965|2|1|0.0|18.4|25.6|22.0|7.2||2
1965|3|1|0.0|17.9|26.2|22.05|8.3||3
1965|4|1|0.0|15.6|32.8|24.2|17.2||3
1965|5|1|16.0|16.6|18.3|17.45|1.7||3
1965|6|1|38.1|14.1|17.7|15.9|3.6||4
1965|7|1|43.2|9.3|15.7|12.5|6.4||4
1965|8|1|3.8|6.3|16.1|11.2|9.8||4
1965|9|1|0.0|7.4|17.3|12.35|9.9||1
1965|10|1|0.0|10.9|30.0|20.45|19.1||1
1965|11|1|12.2|12.9|19.6|16.25|6.7||1
1965|12|1|3.8|12.7|22.9|17.8|10.2||2
1966|3|1|0.0|14.8|39.8|27.3|25.0||3
1966|4|1|1.3|16.7|23.3|20.0|6.6||3
1966|5|1|1.5|15.6|23.1|19.35|7.5||3
1966|6|1|0.5|10.3|18.9|14.6|8.6||4
1966|7|1|0.3|7.2|16.1|11.65|8.9||4
1966|8|1|0.5|3.8|16.6|10.2|12.8||4
1966|9|1|0.0|5.0|16.7|10.85|11.7||1
1966|10|1|0.0|8.2|20.0|14.1|11.8||1
1966|11|1|0.0|11.7|25.1|18.4|13.4||1
1966|12|1|0.0|12.4|27.3|19.85|14.9||2
1967|1|1|0.0|14.9|34.7|24.8|19.8||2
1967|4|1|0.0|15.4|29.1|22.25|13.7||3
1967|5|1|0.0|12.9|25.6|19.25|12.7||3
1967|6|1|0.0|13.4|22.8|18.1|9.4||4
1967|7|1|0.0|7.9|18.8|13.35|10.9||4
1967|8|1|0.5|7.1|17.7|12.4|10.6||4
1967|9|1|0.0|8.9|20.3|14.6|11.4||1
1967|10|1|0.0|14.4|24.5|19.45|10.1||1
1967|11|1|0.0|12.4|23.3|17.85|10.9||1
